assessment_question_id,assessment_question_shuffle_options
"P3XPE-OtEeS_7SIACxCfaQ@1",t
"Q4i-xOOtEeS_7SIACxCfaQ@2",t
"Q4i-xOOtEeS_7SIACxCfaQ@2",t
"Q4i-xOOtEeS_7SIACxCfaQ@2",t
"Q4i-xOOtEeS_7SIACxCfaQ@2",t
"QaIlIeOtEeS_7SIACxCfaQ@2",t
"QaIlIeOtEeS_7SIACxCfaQ@2",t
"QaIlIeOtEeS_7SIACxCfaQ@2",t
"QaIlIeOtEeS_7SIACxCfaQ@2",t
"QaIlIeOtEeS_7SIACxCfaQ@2",t
"Qu-MG-OtEeS_7SIACxCfaQ@2",t
"Qu-MG-OtEeS_7SIACxCfaQ@2",t
"Qu-MG-OtEeS_7SIACxCfaQ@2",t
"Qvw2aeOtEeS_7SIACxCfaQ@2",t
"Qvw2aeOtEeS_7SIACxCfaQ@2",t
"Qvw2aeOtEeS_7SIACxCfaQ@2",t
"XTVnZEYBEeSAFiIACyyIrg@56",f
"v8Yp4QYwEeWbwyIAC9RJUQ@2",f
"v8Yp4QYwEeWbwyIAC9RJUQ@2",f
"Qome8OOtEeS_7SIACxCfaQ@2",t
"Qome8OOtEeS_7SIACxCfaQ@2",t
"Qome8OOtEeS_7SIACxCfaQ@2",t
"Qome8OOtEeS_7SIACxCfaQ@2",t
"Qome8OOtEeS_7SIACxCfaQ@2",t
"Qome8OOtEeS_7SIACxCfaQ@2",t
"Qome8OOtEeS_7SIACxCfaQ@2",t
"Qome8OOtEeS_7SIACxCfaQ@2",t
"g9iWTkWkEeSo5CIAC0yGfg@14",f
"g9iWTkWkEeSo5CIAC0yGfg@14",f
"g9iWTkWkEeSo5CIAC0yGfg@14",f
"syiVOkWhEeScGCIAC0uBoQ@8",f
"tbuRmEWgEeS5PCIACyoMqg@16",f
"P4PY6OOtEeS_7SIACxCfaQ@3",t
"P4PY6OOtEeS_7SIACxCfaQ@3",t
"P4PY6OOtEeS_7SIACxCfaQ@3",t
"QJF4f-OtEeS_7SIACxCfaQ@2",t
"QJF4f-OtEeS_7SIACxCfaQ@2",t
"QJF4f-OtEeS_7SIACxCfaQ@2",t
"QXgHtOOtEeS_7SIACxCfaQ@2",t
"QXgHtOOtEeS_7SIACxCfaQ@2",t
"QXgHtOOtEeS_7SIACxCfaQ@2",t
"QXgHtOOtEeS_7SIACxCfaQ@2",t
"QXgHtOOtEeS_7SIACxCfaQ@2",t
"QnFb0uOtEeS_7SIACxCfaQ@2",t
"QnFb0uOtEeS_7SIACxCfaQ@2",t
"encu7VIGEeSrHSIACzWC9Q@14",f
"P2P0ruOtEeS_7SIACxCfaQ@2",t
"P2qrd-OtEeS_7SIACxCfaQ@3",t
"P2qrd-OtEeS_7SIACxCfaQ@3",t
"P2qrd-OtEeS_7SIACxCfaQ@3",t
"QkuyrkxMEeSreiIACxAQNA@54",f
"Qn6iWOOtEeS_7SIACxCfaQ@2",t
"Qn6iWOOtEeS_7SIACxCfaQ@2",t
"Qn6iWOOtEeS_7SIACxCfaQ@2",t
"Qn6iWOOtEeS_7SIACxCfaQ@2",t
"Qn6iWOOtEeS_7SIACxCfaQ@2",t
"Qn6iWOOtEeS_7SIACxCfaQ@2",t
"Qn6iWOOtEeS_7SIACxCfaQ@2",t
"Qn6iWOOtEeS_7SIACxCfaQ@2",t
"QohmbeOtEeS_7SIACxCfaQ@2",t
"QohmbeOtEeS_7SIACxCfaQ@2",t
"QohmbeOtEeS_7SIACxCfaQ@2",t
"QohmbeOtEeS_7SIACxCfaQ@2",t
"QohmbeOtEeS_7SIACxCfaQ@2",t
"QohmbeOtEeS_7SIACxCfaQ@2",t
"QohmbeOtEeS_7SIACxCfaQ@2",t
"QohmbeOtEeS_7SIACxCfaQ@2",t
"QwAuE-OtEeS_7SIACxCfaQ@3",t
"QwAuE-OtEeS_7SIACxCfaQ@3",t
"QwAuE-OtEeS_7SIACxCfaQ@3",t
"0A7PtVeWEeSfSyIAC0YM_A@14",f
"P1NSz-OtEeS_7SIACxCfaQ@2",t
"Q2qIN-OtEeS_7SIACxCfaQ@2",t
"Q2qIN-OtEeS_7SIACxCfaQ@2",t
"Q2qIN-OtEeS_7SIACxCfaQ@2",t
"Q2qIN-OtEeS_7SIACxCfaQ@2",t
"QFfKlOOtEeS_7SIACxCfaQ@2",t
"QFfKlOOtEeS_7SIACxCfaQ@2",t
"QFfKlOOtEeS_7SIACxCfaQ@2",t
"ptcV2VeTEeSvEiIACyyVhg@22",f
"2U5JP0uEEeSHzCIAC0EV2A@66",f
"2U5JP0uEEeSHzCIAC0EV2A@66",f
"P2JG--OtEeS_7SIACxCfaQ@2",t
"QByWFOOtEeS_7SIACxCfaQ@2",t
"QByWFOOtEeS_7SIACxCfaQ@2",t
"QByWFOOtEeS_7SIACxCfaQ@2",t
"QG9xYuOtEeS_7SIACxCfaQ@2",t
"QG9xYuOtEeS_7SIACxCfaQ@2",t
"QG9xYuOtEeS_7SIACxCfaQ@2",t
"Ln6JaleMEeSvEiIACyyVhg@8",f
"P05Jt-OtEeS_7SIACxCfaQ@2",t
"iNGqUe2GEeSCCCIAC1WXbA@1",t
"iNGqUe2GEeSCCCIAC1WXbA@1",t
"iNGqUe2GEeSCCCIAC1WXbA@1",t
"trs7Mjv0EeS9XCIAC0GF3g@18",f
"3oZdzVIBEeSghiIACzYImw@20",f
"QS6iWeOtEeS_7SIACxCfaQ@2",t
"QS6iWeOtEeS_7SIACxCfaQ@2",t
"QS6iWeOtEeS_7SIACxCfaQ@2",t
"QS6iWeOtEeS_7SIACxCfaQ@2",t
"QS6iWeOtEeS_7SIACxCfaQ@2",t
"QWy9COOtEeS_7SIACxCfaQ@2",t
"QWy9COOtEeS_7SIACxCfaQ@2",t
"QWy9COOtEeS_7SIACxCfaQ@2",t
"QWy9COOtEeS_7SIACxCfaQ@2",t
