assessment_id,assessment_base_id,assessment_version,assessment_type_id,assessment_update_ts
"Q1zzl-OtEeS_7SIACxCfaQ@2","Q1zzl-OtEeS_7SIACxCfaQ",2,1,2015-06-12 23:04:25.007
"Q0nhveOtEeS_7SIACxCfaQ@2","Q0nhveOtEeS_7SIACxCfaQ",2,1,2015-06-12 23:04:19.551
"7Z6FEA8qEeWjlSIACxCHZA@1","7Z6FEA8qEeWjlSIACxCHZA",1,1,2015-06-10 04:41:15.43
"PqJsa-niEeSBAyIAC0yDbg@2","PqJsa-niEeSBAyIAC0yDbg",2,6,2015-05-15 09:11:33.957
"7Z6FEA8qEeWjlSIACxCHZA@9","7Z6FEA8qEeWjlSIACxCHZA",9,1,2015-06-10 04:43:54.067
"Qsh8AuOtEeS_7SIACxCfaQ@2","Qsh8AuOtEeS_7SIACxCfaQ",2,1,2015-06-12 23:02:50.339
"7Z6FEA8qEeWjlSIACxCHZA@28","7Z6FEA8qEeWjlSIACxCHZA",28,1,2015-06-11 04:18:43.272
"PzJdPOOtEeS_7SIACxCfaQ@3","PzJdPOOtEeS_7SIACxCfaQ",3,1,2015-10-02 07:33:51.977
"Q0Umy-OtEeS_7SIACxCfaQ@1","Q0Umy-OtEeS_7SIACxCfaQ",1,1,2015-04-15 20:23:22.541
"QrYsfOOtEeS_7SIACxCfaQ@3","QrYsfOOtEeS_7SIACxCfaQ",3,1,2015-06-17 21:07:13.271
"QzuJ1-OtEeS_7SIACxCfaQ@3","QzuJ1-OtEeS_7SIACxCfaQ",3,1,2015-06-17 21:07:04.438
"PqJsa-niEeSBAyIAC0yDbg@3","PqJsa-niEeSBAyIAC0yDbg",3,6,2015-05-15 09:14:06.671
"Q1OkweOtEeS_7SIACxCfaQ@3","Q1OkweOtEeS_7SIACxCfaQ",3,1,2015-06-17 21:06:18.901
"P6mwiuOtEeS_7SIACxCfaQ@1","P6mwiuOtEeS_7SIACxCfaQ",1,1,2015-04-15 20:23:16.489
"QN1N4eOtEeS_7SIACxCfaQ@1","QN1N4eOtEeS_7SIACxCfaQ",1,1,2015-04-15 20:23:18.505
"QzQPxeOtEeS_7SIACxCfaQ@1","QzQPxeOtEeS_7SIACxCfaQ",1,1,2015-04-15 20:23:22.429
"P7bP7uOtEeS_7SIACxCfaQ@3","P7bP7uOtEeS_7SIACxCfaQ",3,1,2015-06-17 21:06:47.211
"P7x0QOOtEeS_7SIACxCfaQ@1","P7x0QOOtEeS_7SIACxCfaQ",1,1,2015-04-15 20:23:16.612
"7Z6FEA8qEeWjlSIACxCHZA@19","7Z6FEA8qEeWjlSIACxCHZA",19,1,2015-06-10 17:57:47.256
"Q0Br2eOtEeS_7SIACxCfaQ@2","Q0Br2eOtEeS_7SIACxCfaQ",2,1,2015-06-12 23:04:28.933
"QPyVu-OtEeS_7SIACxCfaQ@1","QPyVu-OtEeS_7SIACxCfaQ",1,1,2015-04-15 20:23:18.71
"Q07qz-OtEeS_7SIACxCfaQ@2","Q07qz-OtEeS_7SIACxCfaQ",2,1,2015-06-12 23:04:05.744
"7Z6FEA8qEeWjlSIACxCHZA@18","7Z6FEA8qEeWjlSIACxCHZA",18,1,2015-06-10 17:57:42.217
"K7qVnQjhEeWCQyIAC5XEog@6","K7qVnQjhEeWCQyIAC5XEog",6,7,2015-06-08 14:20:07.531
"QqtXCOOtEeS_7SIACxCfaQ@2","QqtXCOOtEeS_7SIACxCfaQ",2,1,2015-06-12 23:03:29.251
"P5TI8-OtEeS_7SIACxCfaQ@4","P5TI8-OtEeS_7SIACxCfaQ",4,6,2015-05-30 05:54:08.757
"Qt-tjOOtEeS_7SIACxCfaQ@2","Qt-tjOOtEeS_7SIACxCfaQ",2,1,2015-06-12 23:03:55.111
"QQHs7eOtEeS_7SIACxCfaQ@2","QQHs7eOtEeS_7SIACxCfaQ",2,1,2015-06-12 23:04:11.23
"QPyVu-OtEeS_7SIACxCfaQ@3","QPyVu-OtEeS_7SIACxCfaQ",3,1,2015-06-17 21:06:55.703
"7Z6FEA8qEeWjlSIACxCHZA@10","7Z6FEA8qEeWjlSIACxCHZA",10,1,2015-06-10 04:44:12.263
"A0XgSvlIEeS7YiIAC0KBkQ@1","A0XgSvlIEeS7YiIAC0KBkQ",1,6,2015-05-13 08:14:01.583
"P6SneOOtEeS_7SIACxCfaQ@1","P6SneOOtEeS_7SIACxCfaQ",1,1,2015-04-15 20:23:16.456
"czAAS_7HEeSoGSIAC9hEHA@1","czAAS_7HEeSoGSIAC9hEHA",1,6,2015-05-20 08:08:51.242
"8-x_H4fPEeSb9SIACzCJlg@2","8-x_H4fPEeSb9SIACzCJlg",2,1,2015-06-08 15:17:29.25
"PysxSuOtEeS_7SIACxCfaQ@4","PysxSuOtEeS_7SIACxCfaQ",4,1,2015-10-02 08:09:46.847
"QiLtgeOtEeS_7SIACxCfaQ@1","QiLtgeOtEeS_7SIACxCfaQ",1,1,2015-04-15 20:23:20.639
"QsBlsOOtEeS_7SIACxCfaQ@3","QsBlsOOtEeS_7SIACxCfaQ",3,1,2015-06-17 21:06:53.516
"TAkmugjhEeWCQyIAC5XEog@2","TAkmugjhEeWCQyIAC5XEog",2,7,2015-06-08 12:49:21.213
"7Z6FEA8qEeWjlSIACxCHZA@3","7Z6FEA8qEeWjlSIACxCHZA",3,1,2015-06-10 04:41:33.20
"7Z6FEA8qEeWjlSIACxCHZA@31","7Z6FEA8qEeWjlSIACxCHZA",31,1,2015-06-13 12:37:51.50
