peer_assignment_id,peer_assignment_review_schema_part_id,peer_assignment_review_schema_part_type,peer_assignment_review_schema_part_order,peer_assignment_review_schema_part_prompt,peer_assignment_review_schema_part_maximum_score
"Yt0OUgjCEeWk6iIAC3_PpA@5","1","options",0,"本作業「上視圖」繪製的模型面向是否正確？(左上區塊)",1
"zwkOqgjdEeWeSiIACymIuA@7","10","multiLineInput",6,"我覺得這份圖可以製作得更好，如果_______________(自由選填)",
"RqtD8gZEEeWUACIAC5cRqg@6","10","options",3,"是否完整繪製茶壺「把手」的部分？",
"hnL5aAjbEeWi2iIAC7RHVw@4","18","multiLineInput",5,"總體來說，我覺得這份圖可以繪製的更好，如果_____________(自由選填)",
"ZAMmhwiXEeW3OCIAC44JnQ@10","37","multiLineInput",12,"對於兩拋物線的比較敘述，我有不同意見，像是_____________________(自由選填)",
"mOdhnQjIEeWRIiIAC9lFJw@8","23","options",7,"模型前後兩面之等角圓，是否皆用同樣方式繪製？(繪出方框、垂線並連接弧線)",2
"mOdhnQjIEeWRIiIAC9lFJw@8","18","options",5,"等角圓相切方框中，是否有畫出兩角到相鄰兩邊的垂線，並以垂點為端點畫弧？",4
"Yt0OUgjCEeWk6iIAC3_PpA@10","29","multiLineInput",10,"綜合整體表現，我覺這份作業可以繪製的更好，如果_________________(自由填答)",
"zwkOqgjdEeWeSiIACymIuA@3","4","options",3,"是否有標註尺寸？",
"RqtD8gZEEeWUACIAC5cRqg@8","14","options",4,"是否完整繪製茶壺「壺蓋」的部分？",
"hnL5aAjbEeWi2iIAC7RHVw@8","12","options",3,"使用AutoCAD測量工具輔助檢查，是否正確畫出此部分？(包括線條的位置、尺寸長度、角度是否正確)",
"RqtD8gZEEeWUACIAC5cRqg@9","14","options",4,"是否完整繪製茶壺「壺蓋」的部分？",
"Yt0OUgjCEeWk6iIAC3_PpA@7","7","options",2,"本作業「右側視圖」繪製的模型面向是否正確？(右下區塊)",1
"Yt0OUgjCEeWk6iIAC3_PpA@5","20","options",5,"根據下圖之正確解答，本作業右側視圖繪製的形狀、比例與線條使用是否正確？",3
"hnL5aAjbEeWi2iIAC7RHVw@7","7","options",2,"使用AutoCAD測量工具輔助檢查，是否正確畫出此半圓柱，尤其等角橢圓的連接？(包括線條的位置、尺寸長度、角度是否正確)",
"lPnnmgiwEeWCQyIAC5XEog@1","2","yesNo",1,"右上角區塊中，是否從中心向右上角繪製一條45度的直線？",1
"ZAMmhwiXEeW3OCIAC44JnQ@3","1","yesNo",0,"是否保留手繪過程的輕淡線？",
"lPnnmgiwEeWCQyIAC5XEog@5","3","yesNo",2,"是否有用清晰黑線描繪最終輪廓？",1
"RqtD8gZEEeWUACIAC5cRqg@7","10","options",3,"是否完整繪製茶壺「把手」的部分？",
"mOdhnQjIEeWRIiIAC9lFJw@12","2","options",1,"立體模型的兩軸水平線，在等角圖上是否與水平底線夾30度，如圖所示？",2
"RqtD8gZEEeWUACIAC5cRqg@11","28","multiLineInput",9,"<co-content><text>整體來說，我覺得這份圖（自由選填）</text></co-content>",
"f3MV8QimEeWTpSIAC4-MSg@5","15","options",5,"是否有畫出從任意直線與外圓交點，垂直往內的直線，以及從與內圓交點，水平往外的直線，而得到一橢圓上的交點‭?‬",
"lPnnmgiwEeWCQyIAC5XEog@4","2","yesNo",1,"右上角區塊中，是否從中心向右上角繪製一條45度的直線？",1
"lPnnmgiwEeWCQyIAC5XEog@6","3","yesNo",2,"是否有用清晰黑線描繪最終輪廓？",1
"ZAMmhwiXEeW3OCIAC44JnQ@6","16","multiLineInput",6,"在平行四邊形法的使用上，包括從矩形的繪製，等分，垂直輔助線，到頂點的連線，有些不足或錯誤的地方可以更好，如果____________________（自由選填）",
"RqtD8gZEEeWUACIAC5cRqg@5","10","options",3,"是否完整繪製茶壺「把手」的部分？",
"ZAMmhwiXEeW3OCIAC44JnQ@9","1","yesNo",0,"是否保留手繪過程的輕淡線？",
"mOdhnQjIEeWRIiIAC9lFJw@9","2","options",1,"立體模型的兩軸水平線，在等角圖上是否與水平底線夾30度，如圖所示？",2
"RqtD8gZEEeWUACIAC5cRqg@7","22","multiLineInput",6,"這個茶壺可以繪製的更完整，如果（自由選填）",
"mOdhnQjIEeWRIiIAC9lFJw@9","18","options",5,"等角圓相切方框中，是否有畫出兩角到相鄰兩邊的垂線，並以垂點為端點畫弧？",4
"lPnnmgiwEeWCQyIAC5XEog@6","11","options",5,"本作業上視圖的線條使用是否正確？",2
"hnL5aAjbEeWi2iIAC7RHVw@4","1","yesNo",0,"是否利用等角視圖繪製？",1
"hnL5aAjbEeWi2iIAC7RHVw@8","7","options",2,"使用AutoCAD測量工具輔助檢查，是否正確畫出此半圓柱，尤其等角橢圓的連接？(包括線條的位置、尺寸長度、角度是否正確)",
"lPnnmgiwEeWCQyIAC5XEog@8","38","options",12,"上視圖是否有向右延伸的水平線，觸及45度斜線，從該交點作向下延伸的垂直線，以得到右側視圖的「深度」？",2
"RqtD8gZEEeWUACIAC5cRqg@10","18","options",5,"是否完整繪製茶壺壺蓋上「壺鈕」的部分？",
"lPnnmgiwEeWCQyIAC5XEog@8","30","options",10,"右側視圖繪製的形狀與比例是否正確？",2
"f3MV8QimEeWTpSIAC4-MSg@3","15","options",5,"是否有畫出從任意直線與外圓交點，垂直往內的直線，以及從與內圓交點，水平往外的直線，而得到一橢圓上的交點‭?‬",
"RqtD8gZEEeWUACIAC5cRqg@4","2","options",1,"是否有完整繪製茶壺「壺身」的部分？",
"Yt0OUgjCEeWk6iIAC3_PpA@4","20","options",5,"根據下圖之正確解答，本作業右側視圖繪製的形狀、比例與線條使用是否正確？",3
"ZAMmhwiXEeW3OCIAC44JnQ@5","26","options",9,"八等分拋物線的交點，是否正確？",
"-biz_QZbEeW7kSIACySI9A@6","10","multiLineInput",3,"若「沒有」畫出符合題目太極的全部特徵，其缺少的部分在 (自由選填)",
"lPnnmgiwEeWCQyIAC5XEog@8","23","options",8,"本作業前視圖的線條使用是否正確？",2
"f3MV8QimEeWTpSIAC4-MSg@3","19","options",6,"同心圓法橢圓是否完整繪出？即是否用一樣的方式，將橢圓四個部分的交點都找出並連接成完整的橢圓？",
"mOdhnQjIEeWRIiIAC9lFJw@4","2","options",1,"立體模型的兩軸水平線，在等角圖上是否與水平底線夾30度，如圖所示？",2
"zwkOqgjdEeWeSiIACymIuA@5","8","yesNo",4,"EG Cube#3 三視圖使用的視角是否正確？(應為平面視圖)",
"RqtD8gZEEeWUACIAC5cRqg@10","14","options",4,"是否完整繪製茶壺「壺蓋」的部分？",
"ZAMmhwiXEeW3OCIAC44JnQ@2","1","yesNo",0,"是否保留手繪過程的輕淡線？",
"lPnnmgiwEeWCQyIAC5XEog@7","15","options",6,"本作業「前視圖」繪製的模型面向是否正確？(左下區塊)",1
"Yt0OUgjCEeWk6iIAC3_PpA@9","28","yesNo",9,"請用AutoCAD測量工具檢查，前視圖與右側視圖的「高度」是否一致？",1
"RqtD8gZEEeWUACIAC5cRqg@10","28","multiLineInput",9,"整體來說，我覺得這份圖（自由選填）",
