assessment_id,assessment_base_id,assessment_version,assessment_type_id,assessment_update_ts,assessment_passing_fraction
"QttAuuOtEeS_7SIACxCfaQ@1","QttAuuOtEeS_7SIACxCfaQ",1,1,2015-04-15 20:23:21.847,
"Qt-tjOOtEeS_7SIACxCfaQ@1","Qt-tjOOtEeS_7SIACxCfaQ",1,1,2015-04-15 20:23:21.876,
"Qhctr-OtEeS_7SIACxCfaQ@2","Qhctr-OtEeS_7SIACxCfaQ",2,1,2015-06-12 22:36:34.948,
"2vkPlgjgEeWRIiIAC9lFJw@3","2vkPlgjgEeWRIiIAC9lFJw",3,7,2015-11-01 09:20:49.907,
"QjZ1heOtEeS_7SIACxCfaQ@2","QjZ1heOtEeS_7SIACxCfaQ",2,1,2015-06-12 23:04:22.744,
"QqtXCOOtEeS_7SIACxCfaQ@1","QqtXCOOtEeS_7SIACxCfaQ",1,1,2015-04-15 20:23:21.533,
"K7qVnQjhEeWCQyIAC5XEog@7","K7qVnQjhEeWCQyIAC5XEog",7,7,2015-06-08 14:25:50.655,
"QkPjCeOtEeS_7SIACxCfaQ@2","QkPjCeOtEeS_7SIACxCfaQ",2,1,2015-06-12 23:04:09.051,
"8-x_H4fPEeSb9SIACzCJlg@6","8-x_H4fPEeSb9SIACzCJlg",6,1,2015-06-10 16:43:13.221,
"P7GfzOOtEeS_7SIACxCfaQ@8","P7GfzOOtEeS_7SIACxCfaQ",8,1,2015-11-18 05:07:03.237,
"QO4Wx-OtEeS_7SIACxCfaQ@3","QO4Wx-OtEeS_7SIACxCfaQ",3,1,2015-06-17 21:06:29.936,
"K7qVnQjhEeWCQyIAC5XEog@6","K7qVnQjhEeWCQyIAC5XEog",6,7,2015-06-08 14:20:07.531,
"czAAS_7HEeSoGSIAC9hEHA@1","czAAS_7HEeSoGSIAC9hEHA",1,6,2015-05-20 08:08:51.242,
"P7x0QOOtEeS_7SIACxCfaQ@1","P7x0QOOtEeS_7SIACxCfaQ",1,1,2015-04-15 20:23:16.612,
"DwWleQjhEeWk6iIAC3_PpA@5","DwWleQjhEeWk6iIAC3_PpA",5,7,2015-08-13 15:16:24.611,
"QzQPxeOtEeS_7SIACxCfaQ@2","QzQPxeOtEeS_7SIACxCfaQ",2,1,2015-06-12 23:03:24.179,
"7Z6FEA8qEeWjlSIACxCHZA@26","7Z6FEA8qEeWjlSIACxCHZA",26,1,2015-06-10 18:02:32.656,
"QttAuuOtEeS_7SIACxCfaQ@2","QttAuuOtEeS_7SIACxCfaQ",2,1,2015-06-12 23:03:50.87,
"Qk6RbeOtEeS_7SIACxCfaQ@2","Qk6RbeOtEeS_7SIACxCfaQ",2,1,2015-06-12 22:36:45.832,
"7Z6FEA8qEeWjlSIACxCHZA@6","7Z6FEA8qEeWjlSIACxCHZA",6,1,2015-06-10 04:42:21.237,
"auc45AjhEeWTpSIAC4-MSg@2","auc45AjhEeWTpSIAC4-MSg",2,7,2015-06-12 22:06:22.537,
"7Z6FEA8qEeWjlSIACxCHZA@5","7Z6FEA8qEeWjlSIACxCHZA",5,1,2015-06-10 04:41:44.374,
"7Z6FEA8qEeWjlSIACxCHZA@8","7Z6FEA8qEeWjlSIACxCHZA",8,1,2015-06-10 04:43:49.809,
"DwWleQjhEeWk6iIAC3_PpA@1","DwWleQjhEeWk6iIAC3_PpA",1,7,2015-06-02 04:37:21.736,
"P7GfzOOtEeS_7SIACxCfaQ@9","P7GfzOOtEeS_7SIACxCfaQ",9,1,2015-11-18 05:13:12.309,
"Px5gCOOtEeS_7SIACxCfaQ@2","Px5gCOOtEeS_7SIACxCfaQ",2,1,2015-06-12 23:03:21.975,
"sX7UFjuLEeWYpCIAC4O5_Q@2","sX7UFjuLEeWYpCIAC4O5_Q",2,1,2015-08-05 16:25:49.38,
"PzdmTuOtEeS_7SIACxCfaQ@2","PzdmTuOtEeS_7SIACxCfaQ",2,1,2015-06-12 23:03:14.041,
"8-x_H4fPEeSb9SIACzCJlg@5","8-x_H4fPEeSb9SIACzCJlg",5,1,2015-06-10 16:42:58.624,
"P6mwiuOtEeS_7SIACxCfaQ@1","P6mwiuOtEeS_7SIACxCfaQ",1,1,2015-04-15 20:23:16.489,
"QzQPxeOtEeS_7SIACxCfaQ@1","QzQPxeOtEeS_7SIACxCfaQ",1,1,2015-04-15 20:23:22.429,
"86CCsYfPEeSb9SIACzCJlg@3","86CCsYfPEeSb9SIACzCJlg",3,1,2015-06-08 14:22:21.722,
"P7x0QOOtEeS_7SIACxCfaQ@3","P7x0QOOtEeS_7SIACxCfaQ",3,1,2016-03-22 14:46:51.598,
"TAkmugjhEeWCQyIAC5XEog@3","TAkmugjhEeWCQyIAC5XEog",3,7,2015-07-27 05:45:34.317,
"PysxSuOtEeS_7SIACxCfaQ@1","PysxSuOtEeS_7SIACxCfaQ",1,1,2015-04-15 20:23:15.66,
