course_id,taiwan_user_id,course_grade_ts,course_passing_state_id,course_grade_overall_passed_items,course_grade_overall,course_grade_verified_passed_items,course_grade_verified
"POZJ3uOtEeSoXCIACw4Gzg",8cdab2482d57f51b62e58e2e07a2bfa0f7e60c70,2015-06-16 01:48:44.866,0,0,0.0225,0,0.0225
"POZJ3uOtEeSoXCIACw4Gzg",342d7bc564a1b683b6a821a81f73ddba45555d19,2015-12-26 07:07:28.243,0,4,0.3555,0,0
"POZJ3uOtEeSoXCIACw4Gzg",57453733258dac41a258e2693c3f1ab981768400,2016-01-28 02:58:20.961,0,1,0.0855,0,0
"POZJ3uOtEeSoXCIACw4Gzg",4e0cb10292979066f6702e36bd2aec9065156457,2015-07-01 13:13:10.154,0,3,0.365357,0,0
"POZJ3uOtEeSoXCIACw4Gzg",8fab66cb86ccd4b6d384d05389b686848445427d,2016-01-04 19:42:28.067,0,0,0.0315,0,0
"POZJ3uOtEeSoXCIACw4Gzg",be55ab9b4ad1811a7aee9f43082182e7a2e3c534,2015-07-26 17:07:48.119,0,3,0.243,3,0.243
"POZJ3uOtEeSoXCIACw4Gzg",f71b603f2c2625d75d5469b8f0ae9ba9655fc977,2015-07-02 15:23:14.309,0,1,0.081,1,0.081
"POZJ3uOtEeSoXCIACw4Gzg",f868e60e62e431f07b641d15c1db0ae702352c21,2015-11-22 15:03:34.149,1,8,0.991214,0,0
"POZJ3uOtEeSoXCIACw4Gzg",f0187f7c4952633a590f119619d2e5495d704b77,2015-07-22 07:36:44.359,0,1,0.09,1,0.09
"POZJ3uOtEeSoXCIACw4Gzg",3dd81626b1270d563e47c16110ddd195df270cd7,2015-06-28 09:33:39.639,0,5,0.6175,5,0.6175
"POZJ3uOtEeSoXCIACw4Gzg",0fd80e221028c5d8f184a331dd5044371a99589e,2015-07-17 09:12:54.703,0,2,0.162,0,0
"POZJ3uOtEeSoXCIACw4Gzg",ec7f4cdabb7cf67c15dc088c911505e31d8d78cd,2015-08-14 09:35:30.948,0,0,0.036,0,0
"POZJ3uOtEeSoXCIACw4Gzg",7e59a5dcfcb917e2b9839712d3ce76c4e8c62f6a,2015-09-10 01:19:10.574,0,0,0.0315,0,0
"POZJ3uOtEeSoXCIACw4Gzg",f09377eebe744f7f59f9334ddd513a0546fd0afc,2015-07-05 20:02:57.975,0,0,0.0405,0,0.0405
"POZJ3uOtEeSoXCIACw4Gzg",ffc8c98a737625d3a92e49186534bf5ad01bf4c8,2015-07-29 13:10:07.676,0,1,0.081,1,0.081
"POZJ3uOtEeSoXCIACw4Gzg",a15eefc5e06e13e4c117529145a7a7ea2351bec0,2015-07-12 07:15:55.893,0,1,0.117,0,0
"POZJ3uOtEeSoXCIACw4Gzg",3fcfa4b40090fbf69ea75d869d1b39ddffdd956f,2015-09-04 14:44:44.357,0,3,0.234,0,0
"POZJ3uOtEeSoXCIACw4Gzg",b544d19c317f7c45ef0369ee0272cc8da06bbff6,2015-06-18 06:49:05.645,0,1,0.09,1,0.09
"POZJ3uOtEeSoXCIACw4Gzg",30a9d2d6d58e2987d28893e43085be65bb23fb95,2015-06-18 07:51:03.974,0,1,0.09,0,0
"POZJ3uOtEeSoXCIACw4Gzg",400d065c4076b3ed381d2b1599b38b271ef5f3b1,2015-07-05 13:07:13.326,0,1,0.09,1,0.09
