course_id,course_lesson_id,course_module_id,course_lesson_order,course_lesson_name
"POZJ3uOtEeSoXCIACw4Gzg","fdcaD","ZavtT",0,"填問卷囉！"
"POZJ3uOtEeSoXCIACw4Gzg","AADgi","6mmBL",3,"軟體建置 Software Setup"
"POZJ3uOtEeSoXCIACw4Gzg","GXxsu","vxWbI",3,"練習"
"POZJ3uOtEeSoXCIACw4Gzg","aQOBQ","zMcA3",1,"練習 Practice"
"POZJ3uOtEeSoXCIACw4Gzg","dy1I9","MDbPH",1,"實作三：編修技巧與三視圖"
"POZJ3uOtEeSoXCIACw4Gzg","cxWWH","6mmBL",1,"課程介紹 Course Introduction"
"POZJ3uOtEeSoXCIACw4Gzg","6G9hr","MDbPH",3,"作業"
"POZJ3uOtEeSoXCIACw4Gzg","NzIup","OaWEV",1,"實作一：基礎圖形繪製"
"POZJ3uOtEeSoXCIACw4Gzg","BbNCt","a0TlK",1,"實作四：立體視角切換與變形工具"
"POZJ3uOtEeSoXCIACw4Gzg","RjR8x","ZavtT",1,"課程回顧"
"POZJ3uOtEeSoXCIACw4Gzg","KwIMm","6mmBL",2,"學習前問卷"
"POZJ3uOtEeSoXCIACw4Gzg","TBXX5","L5nbS",2,"測驗"
"POZJ3uOtEeSoXCIACw4Gzg","HPKtn","MDbPH",0,"投影與三視圖"
"POZJ3uOtEeSoXCIACw4Gzg","4H8JH","vxWbI",1,"實作五：材質填充、標註與出圖"
"POZJ3uOtEeSoXCIACw4Gzg","k0awO","vxWbI",2,"測驗"
"POZJ3uOtEeSoXCIACw4Gzg","UUFKc","OaWEV",2,"測驗"
"POZJ3uOtEeSoXCIACw4Gzg","oDP18","a0TlK",2,"測驗"
"POZJ3uOtEeSoXCIACw4Gzg","iOe02","OaWEV",3,"練習"
"POZJ3uOtEeSoXCIACw4Gzg","U19ue","vxWbI",0,"尺寸標註"
"POZJ3uOtEeSoXCIACw4Gzg","DfBcs","MDbPH",2,"測驗"
"POZJ3uOtEeSoXCIACw4Gzg","QdUIe","ZavtT",2,"課程預告"
"POZJ3uOtEeSoXCIACw4Gzg","MB4Qz","L5nbS",1,"實作二：複雜幾何圖形繪製"
"POZJ3uOtEeSoXCIACw4Gzg","VMqcA","OaWEV",0,"基礎圖形繪製"
"POZJ3uOtEeSoXCIACw4Gzg","PEaD4","6mmBL",0,"歡迎加入 Welcome"
"POZJ3uOtEeSoXCIACw4Gzg","YVI17","zMcA3",0,"工程師與圖的連結 Connection Between Graphics and Engineers"
"POZJ3uOtEeSoXCIACw4Gzg","cuaRU","L5nbS",0,"幾何圖法概念"
"POZJ3uOtEeSoXCIACw4Gzg","w4Nkv","L5nbS",3,"練習"
"POZJ3uOtEeSoXCIACw4Gzg","ah925","a0TlK",3,"作業"
"POZJ3uOtEeSoXCIACw4Gzg","9fr2G","a0TlK",0,"立體圖及其投影原理"
"POZJ3uOtEeSoXCIACw4Gzg","JXm2l","a0TlK",4,"練習"
