discussion_answer_id,taiwan_discussions_user_id,course_id,discussion_answer_content,discussion_question_id,discussion_answer_parent_discussion_answer_id,discussion_answer_created_ts,discussion_answer_updated_ts
"BnX6SVhuEeW8nxIOF_9POw",7e8b3442517dd86a73893dd9d1776254032016b3,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>多谢回复，受益匪浅。</text></co-content>","INjjh1e1EeWZ5g4_W5BoCw","RAQ7jlhkEeWYng6rkEfI9w",2015-09-11 10:15:28.271,2015-09-11 10:15:28.271
"xZeqAk8QEeWpgBJUo9Z-Uw",7e8b3442517dd86a73893dd9d1776254032016b3,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>拍的时候手机横着放，我的图都被压了。。。被打了分才发现</text></co-content>","un6s1zQGEeWPACIACw4G5w","",2015-08-30 12:15:15.779,2015-08-30 12:15:15.779
"3if6co-REeWmnRIolwGa0w",a9e865e65ef8e9f51b62ffd4e7ca5140fd449c2f,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>只有聽到聲音</text></co-content>","an2Gw1vzEeWYng6rkEfI9w","",2015-11-20 14:20:36.486,2015-11-20 14:20:36.486
"Ue7V5RaLEeWA7CIAC5WDNQ",3605750fa802badb5b7057576ba7f5fdf7fb78c0,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>同关注</text></co-content>","5UfTIRPGEeWM2iIAC0KUpw","lGALyRQ2EeWM2iIAC0KUpw",2015-06-19 13:58:53.554,2015-06-19 13:58:53.554
"yC4YeRP0EeWHGCIACznL2w",d80c9b0f1ea4694140761ba1b93a5fc0ff051c6e,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>顯示過期的說</text><text>老師趕緊修復下</text></co-content>","IL_PRxPOEeWHGCIACznL2w","",2015-06-16 06:56:15.608,2015-06-16 06:56:15.608
"Da_-c-BjEeW3kQ5SlADIGQ",e0efff23c238be00821cd769d514ef9600fcc516,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>1、我是在看纪录片《互联网时代》的时候了解coursera，觉得很有意思 就成了深度coursera用户</text><text>2、一直想学和建模有关的东西 突然发现这门课很适合我</text><text>3、coursera带给我了很多，我作为一个13岁的初中生，在coursera学到了平常很多学不到的东西，也改变了我对互联网以及教育的认识。拿证书的感觉也很爽，我的各项能力也得以提升</text></co-content>","eYAXX-A-EeW_LA6kKeHOuw","",2016-03-02 10:39:34.069,2016-03-02 10:39:34.069
"r9Eb4Hn6EeWtPhJmZh_6JQ",746c5424b5a458af08b09047be7afb880034219e,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>你可嘗試點選上試圖或不同的角度試試</text></co-content>","gkkkpnmuEeWb4g4qCdqdUQ","",2015-10-24 02:55:30.317,2015-10-24 02:55:30.317
"6KzGcXn6EeWPJBI9QEQKiQ",746c5424b5a458af08b09047be7afb880034219e,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>good</text></co-content>","LyIsUjzUEeW2ASIACxeTpg","",2015-10-24 02:57:05.709,2015-10-24 02:57:05.709
"KoWlt4bBEeWTlApPZ_t2iQ",0809d767401829c24bc945749d5b6d2226d2f27a,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>康老师，您的课程深入浅出，对于我这个干过一段时间工程的人来说也很有帮助，谢谢您！</text></co-content>","p3OS7oB7EeWZiRK7avAQuw","",2015-11-09 09:06:30.488,2015-11-09 09:06:30.488
"Ezu8NoobEeWrDQr9ZhnP1w",0809d767401829c24bc945749d5b6d2226d2f27a,"POZJ3uOtEeSoXCIACw4Gzg","<co-content><text>我用的是简体中文2015版，在相对坐标法时，在输入长度单位后，按</text></co-content>","zcsNVTLUEeWNVyIAC0uErA","",2015-11-13 15:27:39.61,2015-11-13 15:27:39.61
