discussion_question_id,taiwan_discussions_user_id,discussion_question_title,discussion_question_details,discussion_question_context_type,course_id,course_module_id,course_item_id,discussion_forum_id,country_cd,group_id,discussion_question_created_ts,discussion_question_updated_ts
"moDdDRVjEeWYoCIAC5MBcw",d80c9b0f1ea4694140761ba1b93a5fc0ff051c6e,"手绘正方框","<co-content><text>老師，視頻上面有個繪畫邊框的題目，怎麼樣確定兩條直線成九十度額，謝謝。</text></co-content>","module","POZJ3uOtEeSoXCIACw4Gzg","OaWEV","","","","",2015-06-18 02:42:04.275,2015-06-18 02:42:04.275
"YaWVdmXREeWEHBK0qnR5nQ",0667c5dedb21c5c51512883adc2e8e0df7cc2532,"单词错误","<co-content><text>第13：04 实线英文应该叫visible line</text></co-content>","item","POZJ3uOtEeSoXCIACw4Gzg","","g4SnF","","","",2015-09-28 11:09:26.548,2015-09-28 11:09:26.548
"kcaBe8XGEeWjNw6BzriyBQ",da7adc4d384b7bfa9785879b0d6941a11635bc20,"6：09时，为何正视图圆柱间相交投影出的弧线半径 r 和竖直圆柱半径 R 相等？谢谢","<co-content><text>6：09时，为何正视图圆柱间相交投影出的弧线半径 r 和竖直圆柱半径 R 相等？谢谢……</text></co-content>","item","POZJ3uOtEeSoXCIACw4Gzg","","MvXQX","","","",2016-01-28 13:53:54.457,2016-01-28 13:53:54.457
"q51KkyfuEeWo2yIACzUEBg",da7adc4d384b7bfa9785879b0d6941a11635bc20,"弧度和角度之间如何切换","<co-content><text> 虽然可能实际应用中不是这样的，但是如果遇到不是用角度而是用弧度来表示的角有</text></co-content>","item","POZJ3uOtEeSoXCIACw4Gzg","","iFuUg","","","",2015-07-11 17:02:53.958,2015-07-11 17:02:53.958
"-ce3YMXGEeWdGw5KNOdybw",da7adc4d384b7bfa9785879b0d6941a11635bc20,"6：09时，为何正视图圆柱间相交投影出的弧线半径 r 和竖直圆柱半径 R 相等？谢谢","<co-content><text>6：09时，为何正视图圆柱间相交投影出的弧线半径 r 和竖直圆柱半径 R 相等？谢谢</text></co-content>","item","POZJ3uOtEeSoXCIACw4Gzg","","MvXQX","","","",2016-01-28 13:56:48.948,2016-01-28 13:56:48.948
"8jn6plxrEeWWvApdRud_EQ",5d171d77aca8d9ec29c62978fb8fa061eac4dc7d,"平行四边形法画椭圆的内容有一个点的字母写错了","<co-content><text>步骤四那里 应该是D点与1，2，3连接 而不是pdf中写的C点</text></co-content>","item","POZJ3uOtEeSoXCIACw4Gzg","","cFvam","","","",2015-09-16 12:10:39.981,2015-09-16 12:10:39.981
"DwoNA1L1EeWUBw792DK9fQ",5d171d77aca8d9ec29c62978fb8fa061eac4dc7d,"第三周的正确性检验","<co-content><text>请问这个绘图我是按照比例绘制的，但是不知道答案用的多长的单位，所以一直不对，有没有同学正确的？另外三个练习和这个检验计做分数么？第一次正式上这个课，不太懂0 0</text></co-content>","module","POZJ3uOtEeSoXCIACw4Gzg","OaWEV","","","","",2015-09-04 11:06:57.745,2015-09-04 11:11:03.607
"FJLUQUIoEeWTMBKhOZsGeQ",bc2e2ca92103f409422ba38a8cba6b82b7d07a5e,"極座標","<co-content><text>輸入345度可以，但是-15度不行，結果是+1度的結果，為什麼？</text></co-content>","item","POZJ3uOtEeSoXCIACw4Gzg","","iFuUg","","","",2015-08-14 01:59:21.596,2015-08-14 01:59:21.596
"QP2PwhprEeWM2iIAC0KUpw",5b480b3db2da4decfab3e2e9d014ca09705da3ef,"305 CAD绘制圆形中做第二个切线","<co-content><text>做第二个切线时，和第一个切线一样的步骤，可输入-45之后，显示的线是从第一条切线下来的（第二条切线不是连着圆心，而是连着第一条切线的末尾）应该怎么打？</text><img assetId=\"L7dCIxprEeW9xiIAC9pDjg\" alt=\"\"/><text/></co-content>","module","POZJ3uOtEeSoXCIACw4Gzg","OaWEV","","","","",2015-06-24 12:19:25.885,2015-06-24 12:19:25.885
"jnnrPBmeEeWmISIAC9QOog",5b480b3db2da4decfab3e2e9d014ca09705da3ef,"CAD输入相对坐标时，先输入100，之后按什么键再输入0？","<co-content><text>304 课程中，绘制100x100的正方形，当点选完line之后，先输入100，之后按什么键再输入0？谢谢</text></co-content>","module","POZJ3uOtEeSoXCIACw4Gzg","OaWEV","","","","",2015-06-23 11:54:09.055,2015-06-23 11:54:09.055
"aFQPbKAIEeWHSwq6hrcVGw",e57e63267a7255f9d42bdab566dea7b743bdd1ad,"第六周的手绘作业，没有人啊","<co-content><text>想要评分，但是只有两份作业，而且还有一个的作业提交的是错误的，没有办法评分</text></co-content>","module","POZJ3uOtEeSoXCIACw4Gzg","a0TlK","","","","",2015-12-11 13:09:27.519,2015-12-11 13:09:27.519
"_y9txRZuEeWd3iIAC7VAtA",760ffc2b6166b821921a086afda65ab73fdba4f7,"Finish!","<co-content><text>準備好了</text></co-content>","item","POZJ3uOtEeSoXCIACw4Gzg","","Qm8kd","","","",2015-06-19 10:36:08.818,2015-06-19 10:36:08.818
"IJhWRBQDEeWYoCIAC5MBcw",b303e4355e54c9a5f5a55d0d0e7d638f367981a1,"AutoCAD version","<co-content><text>請問一下 AutoCAD 可以使用其他版本嗎? 例如中文或英文版或是 2008, 教學課程會不會影響呢?</text><text>謝謝.</text></co-content>","item","POZJ3uOtEeSoXCIACw4Gzg","","du7Yk","","","",2015-06-16 08:38:56.898,2015-06-16 08:38:56.898
"9sPxVzgAEeWddiIAC9pDDA",66fc3c9d6c970faffe2fcd5da876b5935ebab641,"第一次画，好激动啊","<co-content><text /><img alt=\"\" assetId=\"xzolEzgAEeWXPgqrOY0lCQ\" /><img alt=\"\" assetId=\"4SooezgAEeWatxI-JeQ4DQ\" /><text /></co-content>","item","POZJ3uOtEeSoXCIACw4Gzg","","iCjGL","","","",2015-08-01 03:54:09.586,2015-08-01 03:54:09.586
"CBjMwztVEeWm9SIAC5HAew",6e0f1bce73e13fc2ba79bfe021706f9b5d545818,"cad我来了！","<co-content><text>希望我能坚持并认真的完成这门课程，大家一起加油吧！</text></co-content>","item","POZJ3uOtEeSoXCIACw4Gzg","","Np8U0","","","",2015-08-05 09:33:29.877,2015-08-05 09:33:29.877
"FyWYmIQuEeWZCxLh4264pw",c7a657076773876324b4f722ba4b835a00caf7e6,"菜鸟的求助信息","<co-content><text>我是新的菜鸟，我开始的每一个视频都在认真看，但是我的网络太太太糟糕了，老师说的画面全部都是花的，老师说的调查问卷我都不知道去哪儿填，如果有热心小伙伴看到请帮助</text></co-content>","module","POZJ3uOtEeSoXCIACw4Gzg","6mmBL","","","","",2015-11-06 02:28:39.637,2015-11-06 02:28:39.637
"kj_dLP2DEeWZDQ5TnbLmpw",6c5d3733fa763d3c9d88732f2c14f44519149ff0,"win8.1 CAD 2015 的安装中说没有net4.5","<co-content><text>但是从office上下下来net 4.5, 它无法安装，说是已安装或有更高版本。</text><text>求教</text></co-content>","module","POZJ3uOtEeSoXCIACw4Gzg","6mmBL","","","","",2016-04-08 12:15:24.087,2016-04-08 12:15:24.087
"e8iZBgBWEeapRBJSZ0Y3Bw",2ad40d6a043a1bc5cc1a25a621521463fb6c7458,"504 隱藏線和中心線視頻中3:20的兩種畫法判定與簡報中不一致","<co-content><text>視頻中為正確 較佳，簡報中為錯誤。</text></co-content>","item","POZJ3uOtEeSoXCIACw4Gzg","","g4SnF","","","",2016-04-12 02:30:12.531,2016-04-12 02:30:12.531
"2uH6IrzqEeWfsw41r6ikDw",bf4c73f1c71ecea9ce9a918e347ed4858807b8e7,"Subtituos en español","<co-content><text>Porfavor su compresion para ingresar la mejor traducción al ingles o español en el mejor caso.</text><text/><text>Saludos, desde Peru.</text></co-content>","item","POZJ3uOtEeSoXCIACw4Gzg","","du7Yk","","","",2016-01-17 07:20:58.528,2016-01-17 07:20:58.528
"ZvPWXZvaEeWzwg7t8Z85Vw",eb03136268bb62a61beb8c8614d4892404c3f9a0,"第三周测试不现实题目图片怎么解决","<co-content><text></text></co-content>","module","POZJ3uOtEeSoXCIACw4Gzg","OaWEV","","","","",2015-12-06 05:30:03.71,2015-12-06 05:30:03.71
"Hi2sqEGvEeWH9A5JyVdXvQ",882a34625b9db3673642ea0d0c5f0b34017a9e9f,"到底是要在3d视角里画等角图还是2d视角里画？","<co-content><text>根据608我觉得老师的意思是在3d视角里画，但画出来用后视图，左视图检查的话会有错（系统分不清楚是两个重合的点中的哪一个），评分的话不知道会不会出错，大家是怎么想的？</text></co-content>","module","POZJ3uOtEeSoXCIACw4Gzg","a0TlK","","","","",2015-08-13 11:33:28.606,2015-08-13 11:33:28.606
"lSOYc0DuEeW1pBJNnBi9Yw",882a34625b9db3673642ea0d0c5f0b34017a9e9f,"45度角镜射应该一次就够了吧？？？","<co-content><text>45度角镜射应该一次就够了吧？？？</text></co-content>","item","POZJ3uOtEeSoXCIACw4Gzg","","Q3ydh","","","",2015-08-12 12:35:15.32,2015-08-12 12:35:15.32
"i2VvWk7REeWUBw792DK9fQ",63baa56d09872cabb2a274cc1dbcc0ceae532774,"绘圆问题贴","<co-content><text>请教在圆形图上绘制线段，输入线段长度后怎样调出</text></co-content>","module","POZJ3uOtEeSoXCIACw4Gzg","OaWEV","","","","",2015-08-30 04:42:39.848,2015-08-30 04:42:39.848
"yiRMy5wZEeWRtBLzPmz2Ow",ed714ee71cec0e30ab06b140a953395b3293510f,"太卡，是怎么回事","<co-content><text>卡死了</text></co-content>","item","POZJ3uOtEeSoXCIACw4Gzg","","HD5V6","","","",2015-12-06 13:03:48.416,2015-12-06 13:03:48.416
"PTqZlunTEeWcTQpIg9bO1w",5a1912189a3bd1c92b87dbb1ea59bf6eca379e66,"Mac影响课程吗","<co-content><text>老师  我的电脑是Mac 安装了Mac版 影响学习吗</text></co-content>","module","POZJ3uOtEeSoXCIACw4Gzg","6mmBL","","","","",2016-03-14 10:55:17.929,2016-03-14 10:55:17.929
"AzTGsBPKEeWM2iIAC0KUpw",ba07638a40e672bb0cc569b693cab9be37c19d01,"Autodesk的网站改版了 视频里的链接并不适用 我在内容里贴了注册账户前的链接","<co-content><text>http://www.autodesk.com/education/free-software/autocad </text></co-content>","item","POZJ3uOtEeSoXCIACw4Gzg","","du7Yk","","","",2015-06-16 01:50:06.278,2015-06-16 01:57:11.993
"iatAdBfWEeWYoCIAC5MBcw",4cbe59d0a3abee602f70c93a76e971c8c7ec5a21,"Free software download for students & educators","<co-content><text>hi, </text><text>I am trying to download the free software but I can't read in Chinese. Could somebody please translate in English which school I have to mention when creating my account. Is it National Taiwan University?</text></co-content>","course","POZJ3uOtEeSoXCIACw4Gzg","","","","","",2015-06-21 05:29:50.481,2015-06-21 05:29:50.481
"JtE9ATdWEeWF2iIACyygBg",debe998bc157c505385fb0724e7cd48f8d5c5bee,"找不到提示視窗","<co-content><text>老師您好，請問要如何開啟以下這個功能提示式窗呢？</text><text>ROTATE指定旋轉角度或[複製(C) 參考(R)]</text></co-content>","item","POZJ3uOtEeSoXCIACw4Gzg","","OXneB","","","",2015-07-31 07:31:26.263,2015-07-31 07:31:26.263
"KoTQfDT_EeWNVyIAC0uErA",debe998bc157c505385fb0724e7cd48f8d5c5bee,"提示對話框如何開啟?","<co-content><text>老師您好，我使用的是AutoCad 2016英文版。一開始有一個對話框，告訴使用者目前進行的動作、以及此刻有哪些快捷鍵可使用。我不小心把它關閉了，要如何再次開啟呢？</text></co-content>","module","POZJ3uOtEeSoXCIACw4Gzg","OaWEV","","","","",2015-07-28 08:03:43.932,2015-07-28 08:03:43.932
"li24SjUHEeWNVyIAC0uErA",debe998bc157c505385fb0724e7cd48f8d5c5bee,"虛線(Hidden)選項","<co-content><text>老師您好，我使用的是AutoCad 2016 英文版。我在Properties底下的line type裡面，沒有Hidden這個選項耶。只有By Layer, By Block, Continuous三種。</text></co-content>","item","POZJ3uOtEeSoXCIACw4Gzg","","QvZFq","","","",2015-07-28 09:04:00.529,2015-07-28 09:04:00.529
"huZxqhl3EeWA7CIAC5WDNQ",4f0a01f960b1644467a7747e42050341d025468f,"無法提交反饋","<co-content><text>在審閱並選填完所有項目後 (有不正確項目), 提交反饋時會有 \"提交錯誤, 請重試.\" 的訊息而無法提交.</text></co-content>","module","POZJ3uOtEeSoXCIACw4Gzg","MDbPH","","","","",2015-06-23 07:14:45.972,2015-06-23 07:14:45.972
"G0UqfyLEEeWmISIAC9QOog",6984ab2209f80a79ab89678418d2bb1928178616,"动态输入开与关有什么区别吗","<co-content><text>d</text></co-content>","module","POZJ3uOtEeSoXCIACw4Gzg","OaWEV","","","","",2015-07-05 03:15:37.112,2015-07-05 03:15:37.112
"YpnBOJy3EeWw3Q42UmLfBQ",e96af26b9a243ac95381b5913cb5bff5f0474fbc,"2:42圆柱与方形的交接的主视图有疑问","<co-content><text>我认为主视图需要用虚线标示出圆柱右边的边界</text></co-content>","item","POZJ3uOtEeSoXCIACw4Gzg","","MvXQX","","","",2015-12-07 07:51:55.186,2015-12-07 07:51:55.186
"eb7Sr92hEeWAKgo1CAiqoQ",18dbc8f1906b5df7dc93d809e97c3be213af59ce,"怎么提交作业","<co-content><text>上传以后只能save draft 这算是提交吗，找不到submit的选项。</text></co-content>","item","POZJ3uOtEeSoXCIACw4Gzg","","mc7R4","","","",2016-02-27 22:28:50.669,2016-02-27 22:28:50.669
"Y_Cx-xQ8EeWHGCIACznL2w",986d333961f8b5d57d8b33f0a217159f206516bc,"按照坐标输入线段的时候CAD 默认是绝对坐标应该怎样切换","<co-content><text>按照坐标输入线段的时候CAD 默认是绝对坐标应该怎样切换</text></co-content>","item","POZJ3uOtEeSoXCIACw4Gzg","","iFuUg","","","",2015-06-16 15:28:51.198,2015-06-16 15:28:51.198
"Z0kzQiIbEeWHGCIACznL2w",986d333961f8b5d57d8b33f0a217159f206516bc,"在AUTOCAD中没有看到那么多默认的图层选项是怎么回事?","<co-content><text>在AUTOCAD中没有看到那么多默认的图层选项是怎么回事? 是自行添加吗?如果是自行添加能否有专门的文件或者图片介绍下图层的设置呢?</text></co-content>","item","POZJ3uOtEeSoXCIACw4Gzg","","b0Br8","","","",2015-07-04 07:07:59.698,2015-07-04 07:07:59.698
"lmFlL9k0EeWwoQrbIHhKaQ",59139fc9073288367d4ec381d7cbf3eda444e8b1,"請問 (100,0) 中間的那個點怎麼打?","<co-content><text> 我的, 跟&lt;是一個鍵 我一按 就直接挑到角度去了 根本打不了座標阿~</text></co-content>","item","POZJ3uOtEeSoXCIACw4Gzg","","iFuUg","","","",2016-02-22 07:19:18.916,2016-02-22 07:19:18.916
"mYAD3xmlEeWHGCIACznL2w",b81910dac1005a7f53e176a6078d40155258d6ee,"正五邊形的做法","<co-content><text>為什麼不選擇和正七边形一樣的畫法呢…那樣不是簡單一點嗎？</text></co-content>","module","POZJ3uOtEeSoXCIACw4Gzg","L5nbS","","","","",2015-06-23 12:44:34.027,2015-06-23 12:44:34.027
"ejBUFRUHEeWd3iIAC7VAtA",b81910dac1005a7f53e176a6078d40155258d6ee,"关于视频观看的问题","<co-content><text>在大陆这边看视频真是卡到没话说，缓冲很久看一会，有同样问题的同学吗。有什么解决办法吗？</text></co-content>","course","POZJ3uOtEeSoXCIACw4Gzg","","","","","",2015-06-17 15:42:36.361,2015-06-17 15:42:36.361
"8vgoGRcGEeWHGCIACznL2w",f42fd011afa2c6a4bcd620ee9355ad4f6062c740,"沒辦法啟用僅能試用30天阿@@","<co-content><text>不知道為什麼一直顯示</text><text/><text> 您的線上啟用請求傳回一個錯誤 (400)，不允許使用自動系統處理您的請求。  \\n</text><text>\\n</text><text>請按一下以下「使用其他方式」連結，以完成所需表格並將您的請求提交至當地的 Autodesk 商務中心。客戶服務代表將在兩個工作日內回應。 \\n</text><text/></co-content>","item","POZJ3uOtEeSoXCIACw4Gzg","","du7Yk","","","",2015-06-20 04:43:51.826,2015-06-20 04:43:51.826
"i4SyzUNCEeW-OhK375__6Q",14c2b1a048786f53a9a03dcf54808b4369943a07,"CAD 2015 無法下載","<co-content><text>我的電腦是win10 下載 CAD時說沒看見 .NET 4.5</text><text>我載了並安裝卻無法安裝 win 10 好像要安裝的是  .NET 4.6</text><text>但是網站上沒有連結可以載 </text><text>請問一下有解決的辦法嗎?</text></co-content>","module","POZJ3uOtEeSoXCIACw4Gzg","6mmBL","","","","",2015-08-15 11:41:19.23,2015-08-15 11:41:19.23
"33sjv0MoEeWxOxIbgUSIFQ",14c2b1a048786f53a9a03dcf54808b4369943a07,"序碼無法取得","<co-content><text>We're sorry we cannot provide you with your license details at this time.Possible solutions</text><list bulletType=\"numbers\"><li><text>Wait a few minutes and try again.</text></li><li><text>Use the Download button to download and install your software, and use it in \"trial mode\" for up to 30 days. Return to this page before the trial period ends to obtain your serial number by re-selecting your product's version, language, and operating system.</text></li></list><text><a href=\"javascript:adsk.tools.closeLightbox();\">Close window</a></text></co-content>","item","POZJ3uOtEeSoXCIACw4Gzg","","du7Yk","","","",2015-08-15 08:37:33.181,2015-08-15 08:37:33.181
