peer_assignment_id,peer_assignment_review_schema_part_id,peer_assignment_review_schema_part_option_id,peer_assignment_review_schema_part_option_text,peer_assignment_review_schema_part_option_score
"lPnnmgiwEeWCQyIAC5XEog@6","34","37","幾乎完全不正確",0
"zwkOqgjdEeWeSiIACymIuA@3","1","Yes","Yes",
"ZAMmhwiXEeW3OCIAC44JnQ@10","4","7","<co-content><text>否，兩者皆沒有正確等分，或完全看不出其等分 </text></co-content>",
"f3MV8QimEeWTpSIAC4-MSg@5","11","14","<co-content><text>完全沒有繪製或繪製錯誤</text></co-content>",
"RqtD8gZEEeWUACIAC5cRqg@8","23","26","有待加強",
"RqtD8gZEEeWUACIAC5cRqg@9","1","Yes","Yes",
"lPnnmgiwEeWCQyIAC5XEog@10","11","12","<co-content><text>完全正確</text></co-content>",2
"Yt0OUgjCEeWk6iIAC3_PpA@6","10","13","很大部分不正確",1
"ZAMmhwiXEeW3OCIAC44JnQ@5","21","25","完全沒有標出拋物線交點",
"ZAMmhwiXEeW3OCIAC44JnQ@5","8","9","是，兩者皆完整畫出垂直延伸線",
"hnL5aAjbEeWi2iIAC7RHVw@8","7","8","完全正確",
"zwkOqgjdEeWeSiIACymIuA@4","3","No","No",
"hnL5aAjbEeWi2iIAC7RHVw@10","12","13","<co-content><text>完全正確</text></co-content>",
"Yt0OUgjCEeWk6iIAC3_PpA@8","10","13","很大部分不正確",1
"Yt0OUgjCEeWk6iIAC3_PpA@2","1","2","是",1
"lPnnmgiwEeWCQyIAC5XEog@5","23","24","完全正確",2
"lPnnmgiwEeWCQyIAC5XEog@5","19","20","完全正確",2
"-biz_QZbEeW7kSIACySI9A@6","4","5","有",
"mOdhnQjIEeWRIiIAC9lFJw@8","27","28","完全正確",3
"mOdhnQjIEeWRIiIAC9lFJw@8","12","16","方寬長寬與中心皆明顯不正確",1
"ZAMmhwiXEeW3OCIAC44JnQ@5","12","15","否，沒有畫出頂點連線，或完全繪製錯誤",
"RqtD8gZEEeWUACIAC5cRqg@11","6","8","<co-content><text>不完整</text></co-content>",
"-biz_QZbEeW7kSIACySI9A@7","13","No","No",
"lPnnmgiwEeWCQyIAC5XEog@8","45","Yes","Yes",1
"ZAMmhwiXEeW3OCIAC44JnQ@8","32","36","沒有填寫",
"lPnnmgiwEeWCQyIAC5XEog@7","15","17","是",1
"lPnnmgiwEeWCQyIAC5XEog@4","2","No","No",0
"hnL5aAjbEeWi2iIAC7RHVw@9","12","13","完全正確",
"mOdhnQjIEeWRIiIAC9lFJw@11","5","6","是，非常近似2:1",2
"Yt0OUgjCEeWk6iIAC3_PpA@9","20","23","很大部分不正確",1
"RqtD8gZEEeWUACIAC5cRqg@7","6","7","相當完整",
"ZAMmhwiXEeW3OCIAC44JnQ@7","2","Yes","Yes",
"ZAMmhwiXEeW3OCIAC44JnQ@8","8","9","是，兩者皆完整畫出垂直延伸線",
"RqtD8gZEEeWUACIAC5cRqg@10","6","9","完全沒有繪製",
"lPnnmgiwEeWCQyIAC5XEog@10","4","5","<co-content><text>是</text></co-content>",1
"mOdhnQjIEeWRIiIAC9lFJw@10","27","31","幾乎完全錯誤",0
"zwkOqgjdEeWeSiIACymIuA@4","9","No","No",
"lPnnmgiwEeWCQyIAC5XEog@8","41","Yes","Yes",1
"lPnnmgiwEeWCQyIAC5XEog@10","38","40","<co-content><text>沒有</text></co-content>",0
"ZAMmhwiXEeW3OCIAC44JnQ@5","2","No","No",
"mOdhnQjIEeWRIiIAC9lFJw@1","1","Yes","Yes",1
"RqtD8gZEEeWUACIAC5cRqg@8","23","24","大致精準",
"Yt0OUgjCEeWk6iIAC3_PpA@3","7","9","否，對應到錯誤的面向，或看不出為何面向",0
"mOdhnQjIEeWRIiIAC9lFJw@10","12","14","有畫出長寬為直徑的框，但明顯沒有以圓心為中心",2
"Yt0OUgjCEeWk6iIAC3_PpA@6","27","Yes","Yes",1
