peer_assignment_id,peer_assignment_base_id,peer_assignment_type,peer_assignment_required_review_count,peer_assignment_passing_fraction,peer_assignment_required_reviewer_count_for_score,peer_assignment_required_wait_for_score_ms,peer_assignment_maximum_score,peer_assignment_update_ts
"hnL5aAjbEeWi2iIAC7RHVw@6","hnL5aAjbEeWi2iIAC7RHVw","standard",5,,,,1,2015-06-10 05:36:27.525
"hnL5aAjbEeWi2iIAC7RHVw@2","hnL5aAjbEeWi2iIAC7RHVw","standard",5,,,,1,2015-06-02 03:59:10.315
"ZAMmhwiXEeW3OCIAC44JnQ@2","ZAMmhwiXEeW3OCIAC44JnQ","standard",5,,,,,2015-06-01 20:23:19.795
"ZAMmhwiXEeW3OCIAC44JnQ@8","ZAMmhwiXEeW3OCIAC44JnQ","standard",5,,,,,2015-06-10 23:51:45.04
"ZAMmhwiXEeW3OCIAC44JnQ@1","ZAMmhwiXEeW3OCIAC44JnQ","standard",5,,,,,2015-06-01 19:50:01.576
"lPnnmgiwEeWCQyIAC5XEog@9","lPnnmgiwEeWCQyIAC5XEog","graded",5,0.8,5,86400000,27,2015-06-13 22:37:33.242
"RqtD8gZEEeWUACIAC5cRqg@2","RqtD8gZEEeWUACIAC5cRqg","standard",5,,,,,2015-05-29 20:51:47.905
"mOdhnQjIEeWRIiIAC9lFJw@12","mOdhnQjIEeWRIiIAC9lFJw","phased",5,0.8,5,86400000,21,2016-03-22 23:34:18.836
"Yt0OUgjCEeWk6iIAC3_PpA@3","Yt0OUgjCEeWk6iIAC3_PpA","graded",5,0.8,5,86400000,12,2015-06-02 01:14:42.349
"ZAMmhwiXEeW3OCIAC44JnQ@3","ZAMmhwiXEeW3OCIAC44JnQ","standard",5,,,,,2015-06-01 21:13:02.821
"mOdhnQjIEeWRIiIAC9lFJw@7","mOdhnQjIEeWRIiIAC9lFJw","graded",5,0.8,5,86400000,21,2015-06-02 02:59:47.309
"lPnnmgiwEeWCQyIAC5XEog@10","lPnnmgiwEeWCQyIAC5XEog","phased",5,0.8,5,86400000,27,2016-03-22 23:11:25.893
