peer_skip_id,peer_submission_id,taiwan_peer_assignments_user_id,peer_skip_created_ts,peer_skip_type,peer_skip_text
"ffIzqDKcEeWV8SIACyyfnQ","fqDLBCiwEeWmXSIAC00EeA",cb766a991c56dbbe5e3953efb7f644fc1cda7a82,2015-07-25 07:12:21.398,"incompleteSubmission","It provides the wrong file link."
"-3a7qEVUEeWSTg7F_5iDhQ","fqDLBCiwEeWmXSIAC00EeA",ea27f1222134bf59b3aff8f002affa95d9d9254a,2015-08-18 02:58:20.31,"incompleteSubmission","上傳失敗，看不到圖。"
"5ll3SEn7EeWxHxIGetKceQ","fqDLBCiwEeWmXSIAC00EeA",2d5d66d2bf4c009fada0f462cd492601c13837ae,2015-08-24 01:03:15.491,"incompleteSubmission","看不見"
"KHDx2YZZEeWA9w4ipzCZ2Q","sCcQ2oYaEeWFYRKN6-z0qQ",6f27cf4310c99e919afdfae57068b9db2e377d8f,2015-11-08 20:41:59.337,"incompleteSubmission","Missing attachment."
"8IPK2EgVEeWSvQrJn1rVOQ","6nxcJUZzEeWPFgp1wk3USw",4d3a9a04fdc20d059abee801a7f2b2f53c822e4d,2015-08-21 15:04:37.135,"incompleteSubmission","我无法看到图片"
"DUnKwzEHEeWY_yIAC5QH6A","w1GBZDBVEeWX7CIAC0WQ1w",cb766a991c56dbbe5e3953efb7f644fc1cda7a82,2015-07-23 06:50:06.214,"incompleteSubmission","It's empty"
"S3078-8NEeWfwAohgaM63Q","VJ9QKuuGEeW3AhKGdOu9ew",8d57074f8a698935a97dc938a40ad4bded63cac9,2016-03-21 02:33:28.478,"incompleteSubmission","作者手感非常好，描圆很圆，看得出非常用心，对自己要求很高！"
"aBnMFSt_EeWYuSIAC7Pnng","psgJRypHEeWYVCIACyevdw",e99deb2f4c4e59d05e243af30441fb0a0410bf02,2015-07-16 05:56:31.203,"incompleteSubmission","没有看到上传的作业"
"J8fHmiu_EeWYuSIAC7Pnng","psgJRypHEeWYVCIACyevdw",e17402fc1884e9663591f09deb7831e39413fe19,2015-07-16 13:32:51.082,"incompleteSubmission",""
"hwBZpirMEeWYuSIAC7Pnng","psgJRypHEeWYVCIACyevdw",61e7516e5bbf4683839daf19ca5916c8065020cd,2015-07-15 08:36:03.131,"incompleteSubmission","没有看到作业应该是上传不成功"
"hBz7QSbGEeWo2yIACzUEBg","oxplzhsUEeWHGCIACznL2w",cf5bf47a842deea62d7aee454c31300993944e75,2015-07-10 05:42:56.654,"incompleteSubmission",""
"xWS5xD8PEeW2ASIACxeTpg","q31XjSn2EeWIZyIAC0iPQg",ea27f1222134bf59b3aff8f002affa95d9d9254a,2015-08-10 03:27:47.344,"incompleteSubmission","未看到圖"
"1QfXXSt_EeWL_SIACnuNyg","KledsiYSEeW_ESIAC7Psdg",e99deb2f4c4e59d05e243af30441fb0a0410bf02,2015-07-16 05:59:33.957,"incompleteSubmission","没有看到上传的作业"
"AEC9Qhl8EeWYoCIAC5MBcw","elN1lhlhEeWmISIAC9QOog",ccf9314d31199d4345f21a2929ef5cdcdb44c191,2015-06-23 07:46:47.555,"other","無法看到上傳的內容"
"mQANii-9EeWTqyIAC44O4Q","ORUjziiwEeWmXSIAC00EeA",c153fb597394feaf773214df83cb08b3ea29c811,2015-07-21 15:31:46.691,"inappropriateContent",""
"0370ECcfEeWSQSIAC5cRKQ","90MfeyUvEeWx4SIACye3Kw",cf5bf47a842deea62d7aee454c31300993944e75,2015-07-10 16:22:15.045,"incompleteSubmission",""
"T2c1KBgdEeWmISIAC9QOog","3De1Lg0ZEeWv5yIAC00Eog",e892fd006179b19171ff716d698a96fb0d9f4680,2015-06-21 13:56:26.995,"incompleteSubmission","無圖"
"BSYghx76EeWM2iIAC0KUpw","3De1Lg0ZEeWv5yIAC00Eog",4c510107c8a74041cc2409357e064f6acca5845b,2015-06-30 07:31:28.171,"incompleteSubmission","没有上传图片。"
"29ytAEVUEeW-OhK375__6Q","paR5zEKYEeWBHArcQOD9cw",ea27f1222134bf59b3aff8f002affa95d9d9254a,2015-08-18 02:57:27.291,"inappropriateContent","由于是PDF文件，無法用AutoCad測量工具測量。"
"ZhP1-kS9EeWySA6VF2_0Lw","WLhLYkJeEeWBGw50Rft1Mw",ea27f1222134bf59b3aff8f002affa95d9d9254a,2015-08-17 08:53:15.676,"other","沒看到EG cube中的圖，無法判斷作業是否和EG cube一樣。"
"I6TjGzE-EeWNqSIAC4aOqg","xY7CAyIwEeWYoCIAC5MBcw",b3507728f90d4daa0336a5995a1e6a1d04fd756f,2015-07-23 13:24:26.041,"incompleteSubmission","好像没有上传"
"3LZkQ1hlEeWVrg78i3ja5Q","xY7CAyIwEeWYoCIAC5MBcw",ea27f1222134bf59b3aff8f002affa95d9d9254a,2015-09-11 09:17:02.255,"incompleteSubmission","上传作业未成功。"
"q9TwVDQ4EeWF2iIACyygBg","xY7CAyIwEeWYoCIAC5MBcw",cb766a991c56dbbe5e3953efb7f644fc1cda7a82,2015-07-27 08:22:51.034,"incompleteSubmission","empty"
"-dgYr0iPEeWxHxIGetKceQ","iMiaU0DjEeWv5woN2NNtkQ",4d3a9a04fdc20d059abee801a7f2b2f53c822e4d,2015-08-22 05:38:11.388,"incompleteSubmission",""
"j37KVx7QEeWHGCIACznL2w","YOfsoB5aEeWM2iIAC0KUpw",4c510107c8a74041cc2409357e064f6acca5845b,2015-06-30 02:34:41.415,"incompleteSubmission","没有提交附件。"
"Vh782IchEeW9yQ6NDqh2LQ","-cI2ZXcDEeWqXg7D-Kwb-Q",6f27cf4310c99e919afdfae57068b9db2e377d8f,2015-11-09 20:34:55.321,"incompleteSubmission","Where's the file?"
"eny5_zgzEeWNVyIAC0uErA","6VzQUCxeEeWeoSIAC0aC-w",4c029e3d92d6b499f0da9b45f56bee3c4ddc66d2,2015-08-01 09:55:45.415,"incompleteSubmission","未見圖檔"
