taiwan_user_id,course_id,met_payment_condition,was_payment,was_finaid_grant,was_group_sponsored
84a8b79cd6d51dbbd70e4921b73cc865332bcc15,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
d8203e4c4e6ee5bb9eb6657e2857daa944dfe6aa,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
ac1510f3cf9c5702470fc9254fcd7e7d733d05b2,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
dc3779db1a1f74f5de4b1f980886b1111634b94c,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
2ac30b28df37ee610e7d8f357883ce6ce64e73c6,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
94e400cf1904b026e934f8450cfd7623bd97cbf1,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
99dfb01c03b4e6629ab7faf3a84eb3bb59cf8166,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
cafe411aa1067a272b1b7e762059f6557fec26d1,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
e26dfac46c74b0d051075fa04f7c0ccdba3e3698,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
fd0c82542136148dd913aeb3ab3d43b73d756d68,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
6b5ba130b65797ec973b9fbff6966b8fcc016405,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
7c46e7c78900c3af2ec05fa631bd8e2d654cdc7b,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
e67072286bd87c9a80d2d8db99074a5815b73f23,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
b2057f9ae0ff391fe1f1e51800c2fd817057e60a,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
77fa5f6236f2ce70478ab090d45e795f20703a3d,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
0d035d78d378c4b0372980ccb1013284348df650,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
d851275b009be21c5321cd3660cb65a08e781468,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
50fd9b863f239adf09e6fdf5e90516662f59a12c,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
233fb2c20bcf1633be3eda5ad7b91841d211f363,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
a6aae366c549d6c039c512cb1ca2d3d881d96122,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
b26085f6121aea6f424bf1d14e2fe98e68c2a1b9,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
863355700e6abb2bcc76e898e1a033d0509e599c,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
e236b69c8b86ea1753539d6024c0c2e7b8d0e8f5,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
028bcd0f833b2eac915b92ede6dad1fec9a878d0,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
97fb2a14f43442e6d59f7dfea4fcef7656e7c115,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
5edb3b47efb1b171aea39aa5831de1c113126e07,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
cc52309a792e1744ecfb1eeb0964ce492d2c096f,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
f8163a90604039e3dcc69417778eb5d31ff9cda4,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
7276899476804f26827bb04f744c7755a723c62b,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
dde30a3c9af4c6ab536fc27e969262ffb0d9bbf7,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
